CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12347,2,7,4310.0,2,VIP Customers
12348,75,4,1437.24,0,Potential Churn
12349,19,1,1457.55,1,New Customers
12350,310,1,294.4,3,Low Value Customers
12352,36,7,1385.74,2,VIP Customers
12353,204,1,89.0,3,Low Value Customers
12354,232,1,1079.4,0,Potential Churn
12355,214,1,459.4,3,Low Value Customers
12356,23,3,2487.43,2,VIP Customers
12358,2,2,928.0600000000001,1,New Customers
12360,52,3,2302.06,0,Potential Churn
12361,287,1,174.9,3,Low Value Customers
12362,3,10,4737.23,2,VIP Customers
12363,110,2,552.0,0,Potential Churn
12364,8,4,1208.1,2,VIP Customers
12365,291,1,320.69,3,Low Value Customers
12367,4,1,150.9,1,New Customers
12370,51,4,3421.94,0,Potential Churn
12371,60,1,1527.96,0,Potential Churn
12372,72,3,1196.04,0,Potential Churn
12373,311,1,324.6,3,Low Value Customers
12374,25,1,622.93,1,New Customers
12375,11,2,377.5,1,New Customers
12377,315,2,1548.12,0,Potential Churn
12378,130,1,4008.62,0,Potential Churn
12379,82,2,777.24,0,Potential Churn
12380,22,4,2427.81,2,VIP Customers
12381,5,3,1474.81,2,VIP Customers
12383,185,5,1628.56,0,Potential Churn
12384,29,2,425.27000000000004,1,New Customers
12386,338,2,401.9,3,Low Value Customers
12388,16,6,2780.66,2,VIP Customers
12390,80,1,504.84000000000003,3,Low Value Customers
12391,22,1,439.66,1,New Customers
12393,72,4,1582.6000000000001,0,Potential Churn
12394,64,2,1080.48,0,Potential Churn
12395,19,12,2682.63,2,VIP Customers
12397,36,2,2214.9,0,Potential Churn
12398,46,1,1435.66,0,Potential Churn
12399,119,4,1033.65,0,Potential Churn
12401,303,1,69.3,3,Low Value Customers
12402,323,1,195.6,3,Low Value Customers
12403,50,1,391.7,1,New Customers
12405,149,1,1390.39,0,Potential Churn
12406,22,2,3415.3,0,Potential Churn
12407,50,5,1507.1200000000001,0,Potential Churn
12408,33,5,2618.55,2,VIP Customers
12410,309,2,533.33,3,Low Value Customers
12412,75,3,1142.88,0,Potential Churn
12413,67,3,686.1,0,Potential Churn
12414,217,3,442.41,0,Potential Churn
12417,3,9,3226.1,2,VIP Customers
12418,113,1,668.58,3,Low Value Customers
12420,64,1,600.39,1,New Customers
12421,16,4,639.04,2,VIP Customers
12422,96,3,683.5600000000001,0,Potential Churn
12423,1,8,1634.31,2,VIP Customers
12424,163,2,1760.96,0,Potential Churn
12425,78,1,777.2,0,Potential Churn
12426,195,1,510.73,3,Low Value Customers
12427,22,3,699.8,1,New Customers
12429,9,4,3388.4,2,VIP Customers
12430,43,1,216.4,1,New Customers
12432,43,4,4359.32,2,VIP Customers
12434,85,2,806.14,0,Potential Churn
12436,100,1,429.01000000000005,3,Low Value Customers
12438,14,2,2466.85,0,Potential Churn
12441,367,1,155.55,3,Low Value Customers
12442,3,1,144.06,1,New Customers
12444,21,5,4085.46,2,VIP Customers
12445,22,1,77.4,1,New Customers
12446,58,1,1002.3100000000001,0,Potential Churn
12447,243,1,431.49,3,Low Value Customers
12448,44,1,365.45,1,New Customers
12449,22,4,3596.29,2,VIP Customers
12450,156,2,197.88,3,Low Value Customers
12452,17,1,348.57,1,New Customers
12453,134,1,707.09,3,Low Value Customers
12454,56,1,3528.34,0,Potential Churn
12455,73,5,2339.86,0,Potential Churn
12456,44,3,2581.04,0,Potential Churn
12457,66,6,2043.23,2,VIP Customers
12458,71,2,787.4,0,Potential Churn
12461,155,1,626.88,3,Low Value Customers
12462,19,2,937.59,1,New Customers
12463,53,4,1200.78,0,Potential Churn
12464,10,8,957.05,2,VIP Customers
12465,17,2,682.1899999999999,1,New Customers
12468,188,2,657.54,0,Potential Churn
12473,54,3,2585.73,0,Potential Churn
12475,54,1,669.38,1,New Customers
12478,4,1,545.99,1,New Customers
12479,11,1,473.2,1,New Customers
12480,28,4,2885.63,2,VIP Customers
12481,23,10,5003.82,2,VIP Customers
12483,17,8,1910.98,2,VIP Customers
12484,35,4,3939.32,2,VIP Customers
12488,10,3,1244.66,2,VIP Customers
12489,336,1,298.93,3,Low Value Customers
12490,5,10,4859.93,2,VIP Customers
12491,39,1,424.40000000000003,1,New Customers
12492,63,2,227.21,3,Low Value Customers
12493,166,2,415.74,3,Low Value Customers
12494,16,7,1084.1000000000001,2,VIP Customers
12497,82,1,953.1,0,Potential Churn
12498,21,3,349.70000000000005,1,New Customers
12500,23,11,4059.82,2,VIP Customers
12501,337,1,2025.39,0,Potential Churn
12502,96,5,2995.87,0,Potential Churn
12504,18,2,428.04999999999995,1,New Customers
12506,233,1,73.5,3,Low Value Customers
12507,134,3,1052.81,0,Potential Churn
12508,26,2,397.88,1,New Customers
12509,284,1,158.5,3,Low Value Customers
12510,143,2,814.5699999999999,0,Potential Churn
12512,66,2,132.18,3,Low Value Customers
12513,113,1,558.29,3,Low Value Customers
12514,267,1,1017.68,3,Low Value Customers
12515,353,1,278.7,3,Low Value Customers
12516,78,2,1186.06,0,Potential Churn
12517,28,4,2301.6,2,VIP Customers
12518,1,5,1840.89,2,VIP Customers
12519,64,1,276.84,3,Low Value Customers
12520,79,5,2346.2599999999998,0,Potential Churn
12521,143,1,545.68,3,Low Value Customers
12522,39,2,156.72,1,New Customers
12523,19,11,1699.77,2,VIP Customers
12524,9,8,3945.72,2,VIP Customers
12526,1,3,1172.66,2,VIP Customers
12527,82,3,330.71000000000004,0,Potential Churn
12528,9,6,1645.48,2,VIP Customers
12530,60,4,1500.28,0,Potential Churn
12531,15,1,125.22,1,New Customers
12532,30,1,313.83000000000004,1,New Customers
12534,131,1,981.18,0,Potential Churn
12535,92,2,716.35,0,Potential Churn
12536,59,1,4279.71,0,Potential Churn
12538,29,1,363.95,1,New Customers
12539,22,4,5568.35,2,VIP Customers
12541,30,3,841.18,0,Potential Churn
12544,36,1,316.7,1,New Customers
12545,75,2,832.39,0,Potential Churn
12546,47,2,1021.5,0,Potential Churn
12547,198,2,151.79999999999998,3,Low Value Customers
12548,166,1,67.19999999999999,3,Low Value Customers
12550,79,1,824.83,0,Potential Churn
12551,358,1,168.0,3,Low Value Customers
12552,40,1,317.82,1,New Customers
12553,8,10,3278.28,2,VIP Customers
12556,50,2,599.56,0,Potential Churn
12558,8,1,269.96,1,New Customers
12559,311,2,525.71,3,Low Value Customers
12560,5,2,1918.01,2,VIP Customers
12561,303,1,238.85,3,Low Value Customers
12562,8,7,3385.7400000000002,2,VIP Customers
12564,261,1,402.9,3,Low Value Customers
12565,289,1,145.92,3,Low Value Customers
12566,86,1,297.65,3,Low Value Customers
12571,40,2,519.61,1,New Customers
12572,9,2,912.42,1,New Customers
12573,227,1,160.54000000000002,3,Low Value Customers
12574,316,1,182.45000000000002,3,Low Value Customers
12576,36,5,1315.83,2,VIP Customers
12577,35,3,622.65,0,Potential Churn
12578,21,2,2402.51,0,Potential Churn
12579,78,1,386.42,3,Low Value Customers
12580,247,1,379.7,3,Low Value Customers
12581,40,1,179.71,1,New Customers
12582,239,2,351.36,3,Low Value Customers
12584,4,9,2254.15,2,VIP Customers
12585,234,2,1824.1,0,Potential Churn
12586,17,1,196.94000000000003,1,New Customers
12587,8,1,104.0,1,New Customers
12588,39,1,174.89999999999998,1,New Customers
12589,29,2,574.68,1,New Customers
12591,317,1,368.85,3,Low Value Customers
12592,92,2,401.6,0,Potential Churn
12593,109,3,382.09999999999997,0,Potential Churn
12594,38,9,3208.2200000000003,2,VIP Customers
12596,51,2,450.27,1,New Customers
12597,19,4,3195.22,2,VIP Customers
12598,10,7,2807.08,2,VIP Customers
12599,29,7,888.58,2,VIP Customers
12600,29,10,2311.04,2,VIP Customers
12601,190,5,487.06,0,Potential Churn
12602,59,1,153.12,3,Low Value Customers
12603,22,1,613.1999999999999,1,New Customers
12604,79,2,236.18,3,Low Value Customers
12607,60,1,1579.51,0,Potential Churn
12609,78,3,964.85,0,Potential Churn
12610,23,4,1747.54,2,VIP Customers
12611,52,1,1193.32,0,Potential Churn
12612,74,1,668.0400000000001,3,Low Value Customers
12613,57,4,3092.38,0,Potential Churn
12614,278,1,315.6,3,Low Value Customers
12615,2,4,2093.19,2,VIP Customers
12616,95,2,641.3,0,Potential Churn
12617,29,1,352.98,1,New Customers
12618,22,1,137.31,1,New Customers
12619,16,8,2945.56,2,VIP Customers
12620,15,3,1303.41,2,VIP Customers
12622,232,1,162.1,3,Low Value Customers
12623,276,1,269.1,3,Low Value Customers
12624,106,2,569.13,0,Potential Churn
12625,212,2,2413.82,0,Potential Churn
12627,11,6,4082.53,2,VIP Customers
12628,4,3,732.46,1,New Customers
12630,10,2,1030.88,1,New Customers
12631,57,1,480.5,1,New Customers
12633,59,4,1929.98,0,Potential Churn
12635,90,2,1509.18,0,Potential Churn
12638,33,1,511.69,1,New Customers
12639,239,1,366.1,3,Low Value Customers
12640,24,3,994.58,0,Potential Churn
12641,115,1,145.9,3,Low Value Customers
12642,25,3,905.26,0,Potential Churn
12643,128,6,3041.64,0,Potential Churn
12644,130,1,477.91,3,Low Value Customers
12645,34,4,1631.18,0,Potential Churn
12646,5,2,1346.97,1,New Customers
12647,22,12,3146.82,2,VIP Customers
12648,155,1,300.05,3,Low Value Customers
12649,107,3,569.51,0,Potential Churn
12650,3,1,242.44000000000003,1,New Customers
12651,335,1,114.0,3,Low Value Customers
12652,331,1,793.98,3,Low Value Customers
12653,149,2,2209.85,0,Potential Churn
12654,11,5,529.98,2,VIP Customers
12656,17,5,3619.17,2,VIP Customers
12657,11,4,1427.18,2,VIP Customers
12658,19,1,632.05,1,New Customers
12659,30,1,73.68,1,New Customers
12660,11,1,227.1,1,New Customers
12662,1,11,3543.78,2,VIP Customers
12664,8,9,4391.88,2,VIP Customers
12665,325,1,45.0,3,Low Value Customers
12667,58,1,460.13,1,New Customers
12668,12,4,3177.15,2,VIP Customers
12669,151,2,1427.73,0,Potential Churn
12670,10,5,2744.05,2,VIP Customers
12672,330,1,225.89999999999998,3,Low Value Customers
12673,5,2,574.52,1,New Customers
12674,39,4,1844.6,0,Potential Churn
12676,25,6,1091.39,2,VIP Customers
12679,59,4,951.02,0,Potential Churn
12680,1,4,790.81,2,VIP Customers
12684,8,6,2073.63,2,VIP Customers
12685,28,6,2575.08,2,VIP Customers
12686,372,1,71.14,3,Low Value Customers
12688,114,1,4873.8099999999995,0,Potential Churn
12689,26,2,1139.61,0,Potential Churn
12690,206,1,335.01,3,Low Value Customers
12691,28,5,927.8,2,VIP Customers
12693,127,4,711.91,0,Potential Churn
12694,70,2,761.67,0,Potential Churn
12695,7,4,582.1,2,VIP Customers
12697,29,3,757.59,0,Potential Churn
12700,8,4,4525.99,2,VIP Customers
12701,80,2,725.71,0,Potential Churn
12702,20,1,201.0,1,New Customers
12703,71,1,265.55,3,Low Value Customers
12704,7,8,1740.84,2,VIP Customers
12707,292,1,603.42,3,Low Value Customers
12708,30,10,2442.91,2,VIP Customers
12710,97,3,1023.02,0,Potential Churn
12712,29,13,3928.13,2,VIP Customers
12713,1,1,794.55,1,New Customers
12714,9,5,4294.86,2,VIP Customers
12715,106,1,263.36,3,Low Value Customers
12716,4,2,963.49,1,New Customers
12717,151,2,830.98,0,Potential Churn
12718,71,1,202.25,3,Low Value Customers
12719,5,2,572.95,1,New Customers
12721,32,6,2386.13,2,VIP Customers
12722,85,4,979.63,0,Potential Churn
12723,4,5,707.07,2,VIP Customers
12724,5,4,923.41,2,VIP Customers
12725,371,1,371.8,3,Low Value Customers
12726,28,7,2411.1,2,VIP Customers
12727,11,7,3440.7,2,VIP Customers
12728,71,4,728.33,0,Potential Churn
12729,114,1,417.01,3,Low Value Customers
12732,180,1,218.26000000000002,3,Low Value Customers
12733,234,1,383.95,3,Low Value Customers
12734,353,1,110.39999999999999,3,Low Value Customers
12735,315,2,689.5699999999999,0,Potential Churn
12736,333,1,144.0,3,Low Value Customers
12738,372,1,137.35,3,Low Value Customers
12739,99,1,975.54,0,Potential Churn
12740,64,1,427.6,3,Low Value Customers
12743,134,2,540.13,0,Potential Churn
12747,2,11,4196.01,2,VIP Customers
12749,4,5,4090.88,2,VIP Customers
12750,129,1,275.88,3,Low Value Customers
12752,81,1,4366.78,0,Potential Churn
12754,236,3,3010.74,0,Potential Churn
12755,281,2,3811.95,0,Potential Churn
12756,87,1,112.07999999999998,3,Low Value Customers
12757,16,9,4176.75,2,VIP Customers
12758,117,2,2791.59,0,Potential Churn
12759,52,3,1411.44,0,Potential Churn
12762,8,2,1702.52,1,New Customers
12763,138,2,494.08,0,Potential Churn
12764,317,1,1693.88,0,Potential Churn
12769,239,1,1143.6,0,Potential Churn
12770,211,1,1351.45,0,Potential Churn
12772,60,1,752.47,0,Potential Churn
12775,17,5,1281.04,2,VIP Customers
12778,20,6,693.23,2,VIP Customers
12779,38,8,3981.36,2,VIP Customers
12781,64,2,786.74,0,Potential Churn
12782,5,5,1938.92,2,VIP Customers
12783,2,4,1295.87,2,VIP Customers
12784,15,1,476.82,1,New Customers
12785,364,1,255.95,3,Low Value Customers
12787,10,3,418.66,1,New Customers
12789,65,1,76.85,3,Low Value Customers
12790,192,1,294.92,3,Low Value Customers
12791,374,1,177.60000000000002,3,Low Value Customers
12792,257,1,344.53999999999996,3,Low Value Customers
12793,335,2,461.48,3,Low Value Customers
12794,53,2,860.41,0,Potential Churn
12795,19,1,318.48,1,New Customers
12797,366,1,226.03,3,Low Value Customers
12802,187,1,397.58,3,Low Value Customers
12808,37,3,455.65000000000003,0,Potential Churn
12809,178,1,405.31,3,Low Value Customers
12811,262,2,458.85,3,Low Value Customers
12812,45,1,229.64000000000001,1,New Customers
12814,102,1,85.92,3,Low Value Customers
12815,148,2,863.46,0,Potential Churn
12816,96,2,452.20000000000005,0,Potential Churn
12817,281,1,126.03999999999999,3,Low Value Customers
12818,262,1,1182.0800000000002,0,Potential Churn
12820,3,4,942.34,2,VIP Customers
12821,214,1,92.72,3,Low Value Customers
12822,71,2,948.88,0,Potential Churn
12823,75,5,1759.5,0,Potential Churn
12824,60,1,397.12,3,Low Value Customers
12826,3,7,1474.72,2,VIP Customers
12827,6,3,430.15000000000003,1,New Customers
12828,3,6,1018.71,2,VIP Customers
12829,337,2,293.0,3,Low Value Customers
